Uniprot,GeneName
Q8TCB6,OR51E1
Q8TCB6,GPR164
Q8TCB6,OR51E1P
Q8TCB6,OR52A3P
Q8TCB6,POGR
Q8TCB6,PSGR2
A6NIJ9,OR6C70
P02818,BGLAP
A6ND48,OR14I1
A6ND48,OR5BU1
A6ND48,OR5BU1P
Q8NGF9,OR4X2
Q9HBE1,PATZ1
Q9HBE1,PATZ
Q9HBE1,RIAZ
Q9HBE1,ZBTB19
Q9HBE1,ZNF278
Q9HBE1,ZSG
Q92535,PIGC
Q92535,GPI2
Q8N6C7,MIR7-3HG
Q8N6C7,C19orf30
Q8N6C7,LINC00306
Q8N6C7,NCRNA00306
Q8N6C7,PGSF1
Q02962,PAX2
Q9Y6X2,PIAS3
Q14863,POU6F1
Q14863,BRN5
Q14863,MPOU
Q14863,TCFB1
Q6P3X8,PGBD2
P20618,PSMB1
P20618,PSC5
P60673,PFN3
Q99946,PRRT1
Q99946,C6orf31
Q99946,NG5
Q16849,PTPRN
Q16849,ICA3
Q16849,ICA512
P10586,PTPRF
P10586,LAR
Q15008,PSMD6
Q15008,KIAA0107
Q15008,PFAAP4
P11217,PYGM
P06737,PYGL
A1KZ92,PXDNL
A1KZ92,VPO2
P18754,RCC1
P18754,CHC1
Q15293,RCN1
Q15293,RCN
Q15382,RHEB
Q15382,RHEB2
O14966,RAB29
O14966,RAB7L1
Q15771,RAB30
Q17R89,ARHGAP44
Q17R89,KIAA0672
Q17R89,RICH2
P51149,RAB7A
P51149,RAB7
Q5JT25,RAB41
P0DJD1,RGPD2
P0DJD1,RANBP2L2
P0DJD1,RGP2
Q6ZWI9,RFPL4B
Q6ZWI9,RNF211
Q5UIP0,RIF1
P26373,RPL13
P26373,BBC1
P26373,OK/SW-cl.46
P61353,RPL27
Q9Y535,POLR3H
Q9Y535,KIAA1665
Q9Y535,RPC8
Q9UHV5,RAPGEFL1
A6NCQ9,RNF222
P32242,OTX1
Q15620,OR8B8
O00628,PEX7
O00628,PTS2R
Q6UXB8,PI16
Q6UXB8,CRISP9
Q6UXB8,PSPBP
Q6UXB8,PSEC0164
Q6UXB8,UNQ289/PRO328
Q96RG2,PASK
Q96RG2,KIAA0135
Q9NQ66,PLCB1
Q9NQ66,KIAA0581
Q99633,PRPF18
Q99633,HPRP18
Q92786,PROX1
Q86XR5,PRIMA1
Q96QR8,PURB
P06401,PGR
P06401,NR3C3
O15067,PFAS
O15067,KIAA0361
Q14914,PTGR1
Q14914,LTB4DH
Q9UMZ3,PTPRQ
P35236,PTPN7
P01270,PTH
Q6ISU1,PTCRA
Q3MIT2,PUS10
Q3MIT2,CCDC139
Q3MIT2,DOBI
Q2TAK8,PWWP3A
Q2TAK8,EXPAND1
Q2TAK8,MUM1
Q7Z4M0,REC114
Q7Z4M0,C15orf60
Q9H6Z4,RANBP3
P60763,RAC3
Q9NRW1,RAB6B
Q9GZR2,REXO4
Q9GZR2,PMC2
Q9GZR2,XPMC2H
Q6ZVN8,HJV
Q6ZVN8,HFE2
Q6ZVN8,RGMC
Q7Z5H3,ARHGAP22
Q7Z5H3,RHOGAP2
P41220,RGS2
P41220,G0S8
P41220,GIG31
P48378,RFX2
A6NFN3,RBFOX3
O00212,RHOD
O00212,ARHD
Q6BDI9,REP15
P61586,RHOA
P61586,ARH12
P61586,ARHA
P61586,RHO12
Q6NUM9,RETSAT
Q6NUM9,PPSIG
Q6NUM9,UNQ439/PRO872
Q9BWE0,REPIN1
Q9BWE0,RIP60
Q9BWE0,ZNF464
P61254,RPL26
Q9BYC8,MRPL32
Q9BYC8,HSPC283
Q9BYD6,MRPL1
Q9BYD6,BM-022
Q15070,OXA1L
Q96R48,OR2A5
Q96R48,OR2A26
Q96R48,OR2A8
Q8NGG7,OR8A1
O76000,OR2B3
O76000,OR2B3P
O00168,FXYD1
O00168,PLM
Q13670,PMS2P11
Q13670,PMS2L11
Q13670,PMSR6
Q96Q06,PLIN4
Q96Q06,KIAA1881
P53041,PPP5C
P53041,PPP5
O75817,POP7
O75817,RPP20
O43660,PLRG1
Q8NEB9,PIK3C3
Q8NEB9,VPS34
P16298,PPP3CB
P16298,CALNA2
P16298,CALNB
P16298,CNA2
Q15435,PPP1R7
Q15435,SDS22
Q99943,AGPAT1
Q99943,G15
Q9NWT1,PAK1IP1
Q9NWT1,PIP1
Q9NWT1,WDR84
P81277,PRLH
P81277,PRH
Q7Z5A4,PRSS42P
Q7Z5A4,PRSS42
Q7Z5A4,TESSP2
Q8IV56,PRR15
Q9NRI7,PPY2P
Q9NRI7,PPY2
A8MZF0,PRR33
A8MZF0,C11orf89
Q99436,PSMB7
Q99436,Z
Q9BXM0,PRX
Q9BXM0,KIAA1620
Q9NQV8,PRDM8
Q9NQV8,PFM5
Q96I23,PYURF
Q96I23,PREY
Q13635,PTCH1
Q13635,PTCH
Q13882,PTK6
Q13882,BRK
Q9Y272,RASD1
Q9Y272,AGS1
Q9Y272,DEXRAS1
Q92698,RAD54L
Q92698,RAD54A
Q8IZ40,RCOR2
Q9NW64,RBM22
Q9NW64,ZC3H16
Q9NW64,199G4
Q13972,RASGRF1
Q13972,CDC25
Q13972,GNRP
Q13972,GRF1
Q9NS28,RGS18
Q9NS28,RGS13
Q9BWJ2,RHPN1-AS1
Q9BWJ2,C8orf51
Q8WZ73,RFFL
Q8WZ73,RNF189
Q8WZ73,RNF34L
Q9UBD6,RHCG
Q9UBD6,C15orf6
Q9UBD6,CDRC2
Q9UBD6,PDRC2
Q9UBD6,RHGK
O43566,RGS14
Q9BSD3,RHNO1
Q9BSD3,C12orf32
Q9BSD3,RHINO
Q9BSD3,HKMT1188
Q5TAB7,RIPPLY2
Q5TAB7,C6orf159
A6NNM3,RIMBP3B
Q8TEB7,RNF128
P36954,POLR2I
Q9NW08,POLR3B
O15446,POLR1G
O15446,ASE1
O15446,CAST
O15446,CD3EAP
O15446,PAF49
O15318,POLR3G
Q5GAN4,RNASE12
Q6ZRF8,RNF207
Q6ZRF8,C1orf188
Q9Y3C5,RNF11
Q9Y3C5,CGI-123
Q07001,CHRND
Q07001,ACHRD
Q9Y615,ACTL7A
P41595,HTR2B
Q15172,PPP2R5A
P28566,HTR1E
Q8N9L9,ACOT4
Q8N9L9,PTE2B
Q8N9L9,PTEIB
P41238,APOBEC1
O95870,ABHD16A
O95870,BAT5
O95870,G5
O95870,NG26
O95870,PP199
Q9H7C9,AAMDC
Q9H7C9,C11orf67
Q9H7C9,PTD015
